epoch,train_loss,val_loss,train_recon_loss,val_recon_loss,train_kl_loss,val_kl_loss,train_age_loss,val_age_loss,train_site_loss,val_site_loss,train_age_mae,val_age_mae,train_site_acc,val_site_acc,train_age_r2,val_age_r2,current_beta,current_grl_alpha,current_lr
1,144.80458983863818,160.88958658581993,0.0029966512420394114,0.004679879474213789,201.49700825497933,222.75408119023047,2.834464053612458,3.154181952460554,2.044270942358915,2.1047270955848054,2.834464053612458,3.154181952460554,59.38023450586265,56.85618729096989,-0.06760168075561523,-0.2939814329147339,0.0,0.0,0.0001
2,144.15748874785712,154.37559325559482,0.006271874498563446,0.007315927178888616,234.92670061121035,239.44973821225375,2.825002736582029,3.027036918046881,1.91732656955719,1.9914456617872054,2.825002736582029,3.027036918046881,60.80402010050251,60.200668896321076,-0.03455984592437744,0.0018736720085144043,0.0,0.025,0.0001
3,148.29667185618848,152.8662158876757,0.007735742956487278,0.008801986500745434,242.62004615873147,246.08761790604098,2.9075384611260753,3.0063270406180798,1.920714515936834,1.6705699393581785,2.9075384611260753,3.0063270406180798,58.96147403685092,62.207357859531776,-0.12243103981018066,-0.1317838430404663,0.0,0.05,0.0001
4,146.19200665906845,149.6053512216013,0.008802918459864417,0.008931412221396647,246.86256838084466,245.0205008210147,2.8663288025400746,2.9409492932833157,1.8877006627407107,1.6754881765531457,2.8663288025400746,2.9409492932833157,58.62646566164153,63.21070234113713,-0.08023691177368164,-0.0533825159072876,0.0,0.075,0.0001
5,145.24881922020586,159.4087736710258,0.008539176753517772,0.008387966358716472,244.76472480812265,241.58718280090537,2.847261130909624,3.136480765199183,1.8953757996934542,1.6951976807221123,2.847261130909624,3.136480765199183,59.463986599664985,60.86956521739131,-0.04048013687133789,-0.2559086084365845,0.0,0.1,0.0001
6,143.1989638234303,161.18282335976693,0.00803274061714909,0.0075787647991724634,239.79983893670828,234.88812582468907,2.8048061669571713,3.171535901800047,1.9456622630507503,1.7120905117845058,2.8048061669571713,3.171535901800047,58.37520938023451,60.200668896321076,-0.06372785568237305,-0.3422095775604248,0.0,0.125,0.0001
7,144.47239561096907,152.46598203525096,0.008164686327129352,0.00873451973669804,240.28756601407102,243.7869634213655,2.8291469307201393,2.985687715154029,1.982815178994158,2.0919499030480018,2.8291469307201393,2.985687715154029,55.9463986599665,61.53846153846154,-0.04388463497161865,-0.13503265380859375,0.0,0.15,0.0001
8,143.3046599728378,151.0050461172659,0.0086153952882218,0.008406727116891373,244.94214186676382,241.98480653284386,2.806200777465974,2.9577482974648874,1.96769638117434,2.0503988357690663,2.806200777465974,2.9577482974648874,57.95644891122278,60.86956521739131,-0.04391682147979736,-0.10798728466033936,0.0,0.17500000000000002,0.0001
9,145.07549685888753,152.69165865792877,0.00778789007006653,0.007046730086257226,239.8332649115941,234.034969674305,2.8389015002066964,2.993802600879733,2.0609894493716445,1.977532123642223,2.8389015002066964,2.993802600879733,56.78391959798995,56.85618729096989,-0.07110977172851562,-0.13768649101257324,0.0,0.2,0.0001
10,143.53718605233198,153.9503853584213,0.007243905717216844,0.007009355161326585,237.12872631386097,235.82754001170895,2.810301261131887,3.0196826099153347,1.990604770842509,1.9541389874391333,2.810301261131887,3.0196826099153347,58.291457286432156,59.86622073578596,-0.04298543930053711,-0.18186938762664795,0.0,0.22499999999999998,0.0001
11,142.56124558440806,148.90301916830515,0.0072004334155588694,0.007739766852861663,238.61705530827967,241.68960459017035,2.7857153096191047,2.913587979249731,2.1596525446254407,2.123283199243322,2.7857153096191047,2.913587979249731,56.44891122278057,59.86622073578596,-0.040703654289245605,-0.026757359504699707,0.0,0.25,0.0001
12,141.5714320146059,147.62335526584383,0.007986756336486819,0.008051016174854842,244.9097080454355,245.63268068243428,2.7639080403837526,2.885250080389323,2.224066933595156,2.213731579956004,2.7639080403837526,2.885250080389323,56.36515912897823,60.200668896321076,0.0003235340118408203,-0.0063076019287109375,0.0,0.275,0.0001
13,142.03231760405217,148.7295923647673,0.008260795785741291,0.008068917294260252,249.32081667901681,246.94568003778872,2.772334766148323,2.9066727599970075,2.2495146280956426,2.237073350112175,2.772334766148323,2.9066727599970075,55.36013400335008,60.200668896321076,-0.022547602653503418,-0.022630810737609863,0.0,0.3,0.0001
14,143.61297603588008,152.86349793501122,0.007687521881581451,0.007103787791170803,244.5164152110242,238.48706503775605,2.7995967166108304,2.984343382028433,2.396468026753846,2.4072080312365274,2.7995967166108304,2.984343382028433,54.773869346733676,55.51839464882943,-0.04685795307159424,-0.12087833881378174,0.0,0.325,0.0001
15,141.78426975780596,149.18156193251593,0.006413437745891124,0.005485287428300915,232.9762943849292,219.95339006404814,2.7603551478841197,2.9008502752884575,2.489629945363631,2.7410808287336677,2.7603551478841197,2.9008502752884575,55.527638190954775,51.17056856187291,-0.01706397533416748,-0.05131363868713379,0.0,0.35000000000000003,0.0001
16,142.82319352295332,146.63891826106553,0.005328854813491629,0.005246843898164289,215.69161879956422,213.92497324863803,2.7793203079121396,2.851999110601419,2.553691108023102,2.6751537215350862,2.7793203079121396,2.851999110601419,53.68509212730318,54.18060200668896,-0.04563248157501221,0.01335132122039795,0.0,0.375,0.0001
17,144.2599619956472,145.3866582762039,0.005385077488257658,0.005380084473378084,217.5139829293767,210.67837953089074,2.80546548578208,2.8251310766341295,2.63984185247565,2.735468556649709,2.80546548578208,2.8251310766341295,53.517587939698494,53.84615384615385,-0.033625006675720215,0.045098841190338135,0.0,0.4,0.0001
